1/3/2023,-80,,PURCHASE AUTHORIZED ON 01/01 CASH APP*ANUSH ROH 8774174551 CA S383001689612697 CARD 6659
1/10/2023,-200,,ZELLE TO LEWIS SHEVON ON 01/10 REF #RP0QXXRHQF EARLY INVESTMENT
1/10/2023,-50,,PURCHASE AUTHORIZED ON 01/09 CASH APP*CYANFACE 8774174551 CA S463009600364898 CARD 6659
1/11/2023,-182,,VENMO PAYMENT 230111 1024637239631 SEAN LEWIS
1/11/2023,-24.14,,VENMO PAYMENT 230111 1024637259890 SEAN LEWIS
1/12/2023,541.16,,Nationwide PAYROLL 01 HRP0008984397 Sean Lewis
1/13/2023,-200,,TRANSFER TO LEWIS SHARON ON 01/13 REF #PP0QY4HH2S TAX PT2
1/13/2023,-500,,TRANSFER TO LEWIS SHARON ON 01/13 REF #PP0QY4CRFP FOR TAXES
1/13/2023,400,,ATM CASH DEPOSIT ON 01/13 1435 Burlingame Ave Burlingame CA 0000637 ATM ID 0165J CARD 6659
1/13/2023,106,,MONEY TRANSFER AUTHORIZED ON 01/13 FROM Sean Lewis VA S463013513474302 CARD 6659
1/17/2023,-25.48,,PLANET FIT CLUB FEES 2301306620293 623-439-5550
1/23/2023,-25,,VENMO PAYMENT 230121 1024827296273 SEAN LEWIS
1/23/2023,-65.61,,PURCHASE AUTHORIZED ON 01/20 STREET FOOD CAFE SAN MATEO CA S303021134090263 CARD 6659
1/26/2023,-100,,ZELLE TO LEWIS SHEVON ON 01/26 REF #RP0QYXPP3Q FOR GAS
1/26/2023,477.52,,Nationwide PAYROLL 01 HRP0009017504 Sean Lewis
1/26/2023,75,,Square Inc * Cash App 230126 T3EC2YGP8SHTR06 Sean Lewis
2/1/2023,-158,,VENMO PAYMENT 230201 1025016489585 SEAN LEWIS
2/6/2023,-53.01,,PURCHASE AUTHORIZED ON 02/03 CHEVRON/CSI-092600/1556 FOSTER CITY CA P383035071538454 CARD 1081
2/8/2023,-500,,SoFi Bank TRANSFER SD1300 SLewis Sean Lewis:66513:690
2/8/2023,87,,VENMO CASHOUT 230207 1025155149107 SEAN LEWIS
2/9/2023,267.17,,Nationwide PAYROLL 01 HRP0009061376 Sean Lewis
2/10/2023,-21.21,,VENMO PAYMENT 230210 1025196796049 SEAN LEWIS
2/13/2023,-43.39,,VENMO PAYMENT 230213 1025255412913 SEAN LEWIS
2/13/2023,-17.5,,VENMO PAYMENT 230211 1025215575532 SEAN LEWIS
2/14/2023,200,,ATM CASH DEPOSIT ON 02/13 632 Eastern Blvd Essex MD 0008972 ATM ID 0282M CARD 1081
2/17/2023,-25.48,,PLANET FIT CLUB FEES 2304706550250 623-439-5550
2/17/2023,136,,HEALTHEQUITY INC HealthEqui 16 Feb 22317048 Sean Lewis (22317048)
2/21/2023,-194.5,,VENMO PAYMENT 230218 1025351910082 SEAN LEWIS
2/21/2023,-265,,ZELLE TO LEWIS SHARON ON 02/20 REF #PP0R2LTMPW BDAY PARTY EXCEPT DON SEAN
2/21/2023,-2.5,,NON-WELLS FARGO ATM TRANSACTION FEE
2/21/2023,-23,,NON-WF ATM WITHDRAWAL AUTHORIZED ON 02/18 M&T 5980 KINGSTOWN ALEXANDR1A VA 463049709972404 ATM ID SA1847 CARD 1081
2/21/2023,100,,SoFi Bank TRANSFER SD1700 SLewis Sean Lewis:66526:32382
2/22/2023,-650,,ZELLE TO LEWIS SHEVON ON 02/22 REF #RP0R2Q2L33 MARCH SUB
2/22/2023,100,,VENMO CASHOUT 230222 1025416238701 SEAN LEWIS
2/22/2023,650,,SoFi Bank TRANSFER SD1300 SLewis Sean Lewis:66527:4972
2/23/2023,-12,,IRS USATAXPYMT 021623 200345444646377 SEAN E LEWIS
2/23/2023,267.32,,Nationwide PAYROLL 01 HRP0009097551 Sean Lewis
2/24/2023,-172.76,,VENMO PAYMENT 230224 1025467247438 SEAN LEWIS
3/1/2023,205,,VENMO CASHOUT 230228 1025553018053 SEAN LEWIS
3/6/2023,-25,,VENMO PAYMENT 230305 1025655165895 SEAN LEWIS
3/6/2023,-18,,VENMO PAYMENT 230305 1025654640471 SEAN LEWIS
3/7/2023,-80,,ATM WITHDRAWAL AUTHORIZED ON 03/07 1435 Burlingame Ave Burlingame CA 0006103 ATM ID 0165J CARD 1081
3/8/2023,-2,,VENMO PAYMENT 230308 1025696123572 SEAN LEWIS
3/9/2023,290.51,,Nationwide PAYROLL 01 HRP0009139641 Sean Lewis
3/9/2023,165.84,,Cash App * Cash App 230309 T36VMBW9GF2GB15 Sean Lewis
3/10/2023,-500,,SoFi Bank TRANSFER SD1300 SLewis Sean Lewis:66543:1977
3/10/2023,-180.41,,BEST BUY PAYMENT 230309 631006869237022 SEAN LEWIS
3/13/2023,210,,ATM CASH DEPOSIT ON 03/12 655 8th Street San Francisco CA 0007219 ATM ID 1568E CARD 1081
3/15/2023,-28.63,,PURCHASE AUTHORIZED ON 03/14 CHEVRON 0093989 SAN MATEO CA S463073731068937 CARD 1081
3/16/2023,-5,,"DEPT OF COMM FCU ACH Item MAR 15 000000006906695 LEWIS,SEAN"
3/17/2023,-700,,SoFi Bank TRANSFER SD1700 SLewis Sean Lewis:66550:11734
3/17/2023,-20,,ATM WITHDRAWAL AUTHORIZED ON 03/17 2075 Broadway St Redwood City CA 0004578 ATM ID 0003T CARD 1081
3/17/2023,600,,ZELLE FROM LEWIS SHARON ON 03/17 REF # PP0R4BR8MM THANKS FOR THE LOAN
3/20/2023,-49.02,,PURCHASE AUTHORIZED ON 03/19 SHELL SERVICE STATION SAN MATEO CA P463078717139825 CARD 1081
3/20/2023,125.1,,VENMO CASHOUT 230320 1025934244148 SEAN LEWIS
3/21/2023,-80,,ATM WITHDRAWAL AUTHORIZED ON 03/21 1435 Burlingame Ave Burlingame CA 0007476 ATM ID 0165J CARD 1081
3/22/2023,-650,,ZELLE TO LEWIS SHEVON ON 03/22 REF #RP0R4NJ6DM APRIL RENT
3/22/2023,300,,SoFi Bank TRANSFER SD1300 SLewis Sean Lewis:66555:4733
3/23/2023,70,,VENMO CASHOUT 230323 1025985341278 SEAN LEWIS
3/23/2023,398.54,,Nationwide PAYROLL 01 HRP0009182441 Sean Lewis
3/27/2023,15,,Cash App * Cash App 230325 T3RMNME7PX9EYE2 Sean Lewis
4/3/2023,-50.06,,PURCHASE AUTHORIZED ON 04/02 SHELL SERVICE STATION SAN MATEO CA P303092745786604 CARD 1081
4/3/2023,-20,,PURCHASE AUTHORIZED ON 04/02 CASH APP*CYANFACE 8774174551 CA S463092590316949 CARD 1081
4/3/2023,119,,VENMO CASHOUT 230403 1026206756036 SEAN LEWIS
4/3/2023,5,,ATM CASH DEPOSIT ON 04/01 1435 Burlingame Ave Burlingame CA 0008502 ATM ID 0165J CARD 1081
4/3/2023,32,,ATM CASH DEPOSIT ON 04/01 1435 Burlingame Ave Burlingame CA 0008501 ATM ID 0165J CARD 1081
4/4/2023,-50,,PURCHASE AUTHORIZED ON 04/03 CASH APP*CYANFACE 8774174551 CA S583093644926287 CARD 1081
4/4/2023,476,,MOBILE DEPOSIT : REF NUMBER :014040501256
4/4/2023,34.98,,Cash App * Cash App 230404 T3SK4TZHB4P1HAS Sean Lewis
4/5/2023,-59.6,,VENMO PAYMENT 230405 1026246105110 SEAN LEWIS
4/5/2023,-500,,SoFi Bank TRANSFER SD1300 SLewis Sean Lewis:66569:829
4/5/2023,-300,,SoFi Bank TRANSFER SD1300 SLewis Sean Lewis:66569:830
4/6/2023,-100,,ATM WITHDRAWAL AUTHORIZED ON 04/06 1435 Burlingame Ave Burlingame CA 0009077 ATM ID 0165J CARD 1081
4/6/2023,398.53,,Nationwide PAYROLL 01 HRP0009197834 Sean Lewis
4/7/2023,-25.09,,PURCHASE AUTHORIZED ON 04/07 SHELL SERVICE STATION SAN FRANCISCO CA P303098027924484 CARD 1081
4/7/2023,70,,MONEY TRANSFER AUTHORIZED ON 04/07 FROM Sean Lewis VA S583097501342948 CARD 1081
4/10/2023,-50,,ZELLE TO LEWIS DORRY ON 04/08 REF #PP0R5VMVRT FOR MOMS CAKE
4/10/2023,-150,,ZELLE TO LEWIS SHARON ON 04/08 REF #PP0R5VLC65 HAPPY BIRTHDAY
4/10/2023,40,,VENMO CASHOUT 230408 1026306767303 SEAN LEWIS
4/17/2023,-100,,ZELLE TO LEWIS SHARON ON 04/17 REF #PP0R6H8XTV FOR BDAY FUN
4/17/2023,-100,,ZELLE TO LEWIS SHARON ON 04/16 REF #PP0R6FF793 4 21 RETURN
4/17/2023,150,,SoFi Bank TRANSFER SD1300 SLewis Sean Lewis:66581:17523
4/19/2023,-650,,ZELLE TO LEWIS SHEVON ON 04/19 REF #RP0R6M2J76 MAY RENT
4/19/2023,250,,SoFi Bank TRANSFER SD1300 SLewis Sean Lewis:66583:5671
4/20/2023,398.53,,Nationwide PAYROLL 01 HRP0009254185 Sean Lewis
4/24/2023,-80,,ATM WITHDRAWAL AUTHORIZED ON 04/23 655 8th Street San Francisco CA 0009349 ATM ID 1568E CARD 1081
5/3/2023,1,,Credit Karma Transfer 230503 7569763190 Sean Lewis
5/4/2023,398.53,,Nationwide PAYROLL 01 HRP0009291854 Sean Lewis
5/11/2023,-27.58,,VENMO PAYMENT 230511 1026954938969 SEAN LEWIS
5/12/2023,-100,,ATM WITHDRAWAL AUTHORIZED ON 05/12 1435 Burlingame Ave Burlingame CA 0002981 ATM ID 0165J CARD 1081
5/15/2023,-34.5,,VENMO PAYMENT 230513 1026999598173 SEAN LEWIS
5/15/2023,134.78,,VENMO CASHOUT 230515 1027038784162 SEAN LEWIS
5/16/2023,-650,,ZELLE TO LEWIS SHEVON ON 05/16 REF #RP0R8LMDVF JUNE RENT
5/18/2023,398.53,,Nationwide PAYROLL 01 HRP0009321511 Sean Lewis
5/22/2023,-100,,BEST BUY PAYMENT 230521 601069035023175 SEAN LEWIS
5/30/2023,-0.27,,INTERNATIONAL PURCHASE TRANSACTION FEE
5/30/2023,-9.04,,PURCHASE INTL AUTHORIZED ON 05/27 RATP PARIS FRA S303147423332504 CARD 1081
6/1/2023,538.33,,Nationwide PAYROLL 01 HRP0009361777 Sean Lewis
6/5/2023,-0.15,,INTERNATIONAL PURCHASE TRANSACTION FEE
6/5/2023,-5.17,,PURCHASE INTL AUTHORIZED ON 06/04 GELAAATI DI MARCO BARCELONA ESP S303155757160995 CARD 1081
6/5/2023,-0.25,,INTERNATIONAL PURCHASE TRANSACTION FEE
6/5/2023,-8.62,,PURCHASE INTL AUTHORIZED ON 06/04 AKATSUKI BARCELONA ESP S303155541745657 CARD 1081
6/5/2023,-0.48,,INTERNATIONAL PURCHASE TRANSACTION FEE
6/5/2023,-16.17,,PURCHASE INTL AUTHORIZED ON 06/03 SQ *PRIMAVERA SOUN Barcelona IRL S463154804564412 CARD 1081
6/5/2023,-0.29,,INTERNATIONAL PURCHASE TRANSACTION FEE
6/5/2023,-9.7,,PURCHASE INTL AUTHORIZED ON 06/03 SQ *BABY JALEBI Barcelona IRL S303154708777719 CARD 1081
6/5/2023,-0.14,,INTERNATIONAL PURCHASE TRANSACTION FEE
6/5/2023,-4.85,,PURCHASE INTL AUTHORIZED ON 06/03 SQ *PRIMAVERA SOUN Barcelona IRL S303154702125358 CARD 1081
6/5/2023,-0.14,,INTERNATIONAL PURCHASE TRANSACTION FEE
6/5/2023,-4.85,,PURCHASE INTL AUTHORIZED ON 06/03 SUPAGRU SUPERMERCA BARCELONA ESP S303154465690802 CARD 1081
6/6/2023,-0.2,,INTERNATIONAL PURCHASE TRANSACTION FEE
6/6/2023,-6.79,,PURCHASE INTL AUTHORIZED ON 06/05 EL CAFE DEL TREN MADRID ESP S303156273834047 CARD 1081
6/7/2023,-0.08,,INTERNATIONAL PURCHASE TRANSACTION FEE
6/7/2023,-2.68,,PURCHASE INTL AUTHORIZED ON 06/06 CAFETERIA HEMISFER VALENCIA ESP S383157512826944 CARD 1081
6/7/2023,-0.63,,INTERNATIONAL PURCHASE TRANSACTION FEE
6/7/2023,-21.07,,PURCHASE INTL AUTHORIZED ON 06/06 TIENDA HEMISFERIC VALENCIA ESP S383157501804395 CARD 1081
