Date,Description,Type,Amount,Current balance,Status
2025-10-24,Roundup *24 HOUR FITNESS - 475,Roundup,-0.07,992.07,Posted
2025-10-24,24 HOUR FITNESS - 475,Debit Card,-4.93,992.14,Posted
2025-10-23,DEPT EDUCATION,Direct Payment,-442.73,997.07,Posted
2025-10-21,From Savings - 3552,Deposit,1000,1439.8,Posted
2025-10-20,WELLS FARGO BANK NA,Withdrawal,-1000,439.8,Posted
2025-10-18,Zelle® Payment to Sharon Lewis,Direct Payment,-1000.00,1439.8,Posted
2025-10-18,From Savings - 3552,Deposit,1000,2439.8,Posted
2025-10-18,Roundup *SQ *SHAKE SHACK,Roundup,-0.92,1439.8,Posted
2025-10-18,SQ *SHAKE SHACK,Debit Card,-28.08,1440.72,Posted
2025-10-15,Roundup *WHOLEFDS SMT 10150,Roundup,-0.03,1468.8,Posted
2025-10-15,WHOLEFDS SMT 10150,Debit Card,-83.97,1468.83,Posted
2025-10-13,From Savings - 3552,Deposit,155,1552.8,Posted
2025-10-13,Zelle® Payment from Tahjei Materne,Direct Payment,390.00,1397.8,Posted
2025-10-02,Roundup *DD *SUSHIKUU,Roundup,-0.9,1007.8,Posted
2025-10-02,DD *SUSHIKUU,Debit Card,-31.10,1008.7,Posted
2025-10-01,From Savings - 3552,Deposit,450,1039.8,Posted
2025-09-30,Interest earned,Interest Earned,0.71,589.8,Posted
2025-09-29,Roundup *DD *DOORDASH GREEKSTRE,Roundup,-0.89,589.09,Posted
2025-09-29,DD *DOORDASH GREEKSTRE,Debit Card,-52.11,589.98,Posted
2025-09-29,VENMO,Direct Payment,-2189.93,642.09,Posted
2025-09-28,VENMO *Kai Feng Pan,Debit Card,-700.00,2832.02,Posted
2025-09-26,SSP*TNTGYMNASTICSANDCH,Debit Card,-90.00,3532.02,Posted
2025-09-26,From Savings - 3552,Deposit,800,3622.02,Posted
2025-09-23,CASH APP*RYAN TITE,Debit Card,-80.00,2822.02,Posted
2025-09-19,VENMO,Direct Payment,-1555.2,2902.02,Posted
2025-09-18,WELLS FARGO BANK NA,Deposit,1000,4457.22,Posted
2025-09-18,From Savings - 3552,Deposit,500,3457.22,Posted
2025-09-18,From Savings - 3552,Deposit,2000,2957.22,Posted
2025-09-13,From Savings - 3552,Deposit,155,957.22,Posted
2025-09-08,Roundup *BEST BUY #140,Roundup,-0.21,802.22,Posted
2025-09-08,BEST BUY #140,Debit Card,-210.79,802.43,Posted
2025-09-07,Roundup *UKVI ETAMOB10000702110,Roundup,-0.48,1013.22,Posted
2025-09-07,UKVI ETAMOB10000702110,Debit Card,-22.52,1013.7,Posted
2025-09-03,Roundup *COLES 0852,Roundup,-0.69,1036.22,Posted
2025-09-03,Roundup *SUPERB SUNNY PTY LTD,Roundup,-0.69,1036.91,Posted
2025-09-03,Roundup *ART ON KING,Roundup,-0.95,1037.6,Posted
2025-09-03,COLES 0852,Debit Card,-1.31,1038.55,Posted
2025-09-03,SUPERB SUNNY PTY LTD,Debit Card,-4.31,1039.86,Posted
2025-09-03,ART ON KING,Debit Card,-57.05,1044.17,Posted
2025-09-02,Roundup *SQ *THE TEA COLLECTIVE,Roundup,-0.05,1101.22,Posted
2025-09-02,Roundup *SQ *BALLSY TEA,Roundup,-0.04,1101.27,Posted
2025-09-02,Roundup *kikki.K,Roundup,-0.68,1101.31,Posted
2025-09-02,Roundup *MUMU LIFE,Roundup,-0.5,1101.99,Posted
2025-09-02,Roundup *HEALTHY CARE BURWOOD P,Roundup,-0.8,1102.49,Posted
2025-09-02,Roundup *CCW MUSEUM,Roundup,-0.69,1103.29,Posted
2025-09-02,Roundup *KINGPIN BOWLING,Roundup,-0.61,1103.98,Posted
2025-09-02,CCW MUSEUM,Debit Card,-37.31,1104.59,Posted
2025-09-02,KINGPIN BOWLING,Debit Card,-60.39,1141.9,Posted
2025-09-02,MUMU LIFE,Debit Card,-31.50,1202.29,Posted
2025-09-02,SQ *THE TEA COLLECTIVE,Debit Card,-49.95,1233.79,Posted
2025-09-02,SQ *BALLSY TEA,Debit Card,-19.96,1283.74,Posted
2025-09-02,kikki.K,Debit Card,-85.32,1303.7,Posted
2025-09-02,HEALTHY CARE BURWOOD P,Debit Card,-72.20,1389.02,Posted
2025-09-01,Roundup *SMIGGLE PTY LTD,Roundup,-0.94,1461.22,Posted
2025-09-01,Roundup *ZLR*Monsterthreads New,Roundup,-0.78,1462.16,Posted
2025-09-01,Roundup *SQ *BUTTERCRUMBS CROIS,Roundup,-0.71,1462.94,Posted
2025-09-01,Roundup *TransportforNSW Tap,Roundup,-0.55,1463.65,Posted
2025-09-01,TransportforNSW Tap,Debit Card,-4.45,1464.2,Posted
2025-09-01,SQ *BUTTERCRUMBS CROIS,Debit Card,-10.29,1468.65,Posted
2025-09-01,SQ *ICE KIRIN BAR BURW,Debit Card,-6.00,1478.94,Posted
2025-09-01,SMIGGLE PTY LTD,Debit Card,-34.06,1484.94,Posted
2025-09-01,ZLR*Monsterthreads New,Debit Card,-5.22,1519,Posted
2025-09-01,From Savings - 3552,Deposit,450,1524.22,Posted
2025-08-31,Interest earned,Interest Earned,0.71,1074.22,Posted
2025-08-31,Roundup *JALU FRAGRANCES,Roundup,-0.37,1073.51,Posted
2025-08-31,Roundup *WOOLWORTHS      1332,Roundup,-0.66,1073.88,Posted
2025-08-31,Roundup *LS Dose Espresso,Roundup,-0.55,1074.54,Posted
2025-08-31,JALU FRAGRANCES,Debit Card,92.63,1075.09,Posted
2025-08-31,JALU FRAGRANCES,Debit Card,-92.63,982.46,Posted
2025-08-31,WOOLWORTHS      1332,Debit Card,-16.34,1075.09,Posted
2025-08-31,LS Dose Espresso,Debit Card,-7.45,1091.43,Posted
2025-08-30,Roundup *MUBASSHIR GHULAM MOHAM,Roundup,-0.17,1098.88,Posted
2025-08-30,Roundup *SQ *ONA SYDNEY,Roundup,-0.32,1099.05,Posted
2025-08-30,Roundup *ALDI STORES,Roundup,-0.97,1099.37,Posted
2025-08-30,SQ *ONA SYDNEY,Debit Card,-93.68,1100.34,Posted
2025-08-30,ALDI STORES,Debit Card,-16.03,1194.02,Posted
2025-08-30,MUBASSHIR GHULAM MOHAM,Debit Card,-10.83,1210.05,Posted
2025-08-29,Roundup *MCDONALDS SYDNEY GATE,Roundup,-0.56,1220.88,Posted
2025-08-29,Roundup *OMI CHATSWOOD PTY LTD,Roundup,-0.45,1221.44,Posted
2025-08-29,Roundup *TfNSW Opal Machine Syd,Roundup,-0.87,1221.89,Posted
2025-08-29,Roundup *OMI CHATSWOOD PTY LTD,Roundup,-0.31,1222.76,Posted
2025-08-29,MCDONALDS SYDNEY GATE,Debit Card,-11.44,1223.07,Posted
2025-08-29,TfNSW Opal Machine Syd,Debit Card,-39.13,1234.51,Posted
2025-08-29,OMI CHATSWOOD PTY LTD,Debit Card,-24.69,1273.64,Posted
2025-08-29,OMI CHATSWOOD PTY LTD,Debit Card,-6.55,1298.33,Posted
2025-08-28,Roundup *IMMMG PTY LTD,Roundup,-0.4,1304.88,Posted
2025-08-28,IMMMG PTY LTD,Debit Card,-14.60,1305.28,Posted
2025-08-27,Roundup *The Naked Duck Bond,Roundup,-0.45,1319.88,Posted
2025-08-27,Roundup *MCDONALDS BURWOOD,Roundup,-0.19,1320.33,Posted
2025-08-27,Roundup *BABYLON RESTAURANT A,Roundup,-0.64,1320.52,Posted
2025-08-27,Roundup *Brooklyn Donuts Chatsw,Roundup,-0.93,1321.16,Posted
2025-08-27,Roundup *NPWS WOMBEYAN CAVES,Roundup,-0.52,1322.09,Posted
2025-08-27,Roundup *MCDONALDS GOULBURN ST,Roundup,-0.2,1322.61,Posted
2025-08-27,MCDONALDS BURWOOD,Debit Card,-2.81,1322.81,Posted
2025-08-27,MCDONALDS GOULBURN ST,Debit Card,-8.80,1325.62,Posted
2025-08-27,The Naked Duck Bond,Debit Card,-15.55,1334.42,Posted
2025-08-27,Brooklyn Donuts Chatsw,Debit Card,-18.07,1349.97,Posted
2025-08-27,NPWS WOMBEYAN CAVES,Debit Card,-8.48,1368.04,Posted
2025-08-27,BABYLON RESTAURANT A,Debit Card,-14.36,1376.52,Posted
2025-08-26,Roundup *Kafe Kooks,Roundup,-0.82,1390.88,Posted
2025-08-26,Kafe Kooks,Debit Card,-15.18,1391.7,Posted
2025-08-25,Roundup *THE TRUSTEE FOR OZKII,Roundup,-0.1,1406.88,Posted
2025-08-25,THE TRUSTEE FOR OZKII,Debit Card,-15.90,1406.98,Posted
2025-08-24,Roundup *SQ *NOI GOULBURN,Roundup,-0.74,1422.88,Posted
2025-08-24,Roundup *SQ *CENTENNIAL VINEYAR,Roundup,-0.84,1423.62,Posted
2025-08-24,Roundup *SQ *CENTENNIAL VINEYAR,Roundup,-0.87,1424.46,Posted
2025-08-24,SQ *CENTENNIAL VINEYAR,Debit Card,-7.16,1425.33,Posted
2025-08-24,SQ *CENTENNIAL VINEYAR,Debit Card,-9.13,1432.49,Posted
2025-08-24,SQ *NOI GOULBURN,Debit Card,-30.26,1441.62,Posted
2025-08-23,Roundup *ALAM ENJOY PTY LTD,Roundup,-0.23,1471.88,Posted
2025-08-23,Roundup *LS GAMES CHAIN,Roundup,-0.9,1472.11,Posted
2025-08-23,LS GAMES CHAIN,Debit Card,-58.10,1473.01,Posted
2025-08-23,ALAM ENJOY PTY LTD,Debit Card,-11.77,1531.11,Posted
2025-08-22,Zelle® Payment from Sharon Lewis,Direct Payment,250.00,1542.88,Posted
2025-08-22,Roundup *DD *DOORDASH TIDAPERSI,Roundup,-0.53,1292.88,Posted
2025-08-22,Roundup *TfNSW Opal Machine Syd,Roundup,-0.84,1293.41,Posted
2025-08-22,Roundup *SUMMER VIBE PTY LTD,Roundup,-0.19,1294.25,Posted
2025-08-22,Roundup *TARGET 5091,Roundup,-0.25,1294.44,Posted
2025-08-22,Roundup *Uniqlo Chatswood,Roundup,-0.1,1294.69,Posted
2025-08-22,TARGET 5091,Debit Card,-77.75,1294.79,Posted
2025-08-22,SUMMER VIBE PTY LTD,Debit Card,-4.81,1372.54,Posted
2025-08-22,Uniqlo Chatswood,Debit Card,-12.90,1377.35,Posted
2025-08-22,DD *DOORDASH TIDAPERSI,Debit Card,-36.47,1390.25,Posted
2025-08-22,TfNSW Opal Machine Syd,Debit Card,-26.16,1426.72,Posted
2025-08-21,Roundup *PEPPER LUNCH,Roundup,-0.7,1452.88,Posted
2025-08-21,Roundup *ROMEOS FOODHALL SOUTH,Roundup,-0.07,1453.58,Posted
2025-08-21,Roundup *MUBASSHIR GHULAM MOHAM,Roundup,-0.27,1453.65,Posted
2025-08-21,Roundup *ROMEOS FOODHALL SOUTH,Roundup,-0.67,1453.92,Posted
2025-08-21,Roundup *ZLR*The Cheesecake Sho,Roundup,-0.21,1454.59,Posted
2025-08-21,Roundup *MUBASSHIR GHULAM MOHAM,Roundup,-0.46,1454.8,Posted
2025-08-21,MUBASSHIR GHULAM MOHAM,Debit Card,-6.54,1455.26,Posted
2025-08-21,MUBASSHIR GHULAM MOHAM,Debit Card,-11.73,1461.8,Posted
2025-08-21,ZLR*The Cheesecake Sho,Debit Card,-7.79,1473.53,Posted
2025-08-21,ROMEOS FOODHALL SOUTH,Debit Card,-16.93,1481.32,Posted
2025-08-21,ROMEOS FOODHALL SOUTH,Debit Card,-19.33,1498.25,Posted
2025-08-21,PEPPER LUNCH,Debit Card,-23.30,1517.58,Posted
2025-08-20,Roundup *SQ *FISHBOWL SOUTH EVE,Roundup,-0.33,1540.88,Posted
2025-08-20,Roundup *MCDONALDS BURWOOD,Roundup,-0.41,1541.21,Posted
2025-08-20,Roundup *SQ *MERCH FAN,Roundup,-0.6,1541.62,Posted
2025-08-20,Roundup *TheGroundsCoffeeFact,Roundup,-0.05,1542.22,Posted
2025-08-20,MCDONALDS BURWOOD,Debit Card,-3.59,1542.27,Posted
2025-08-20,SQ *FISHBOWL SOUTH EVE,Debit Card,-13.67,1545.86,Posted
2025-08-20,TheGroundsCoffeeFact,Debit Card,-13.95,1559.53,Posted
2025-08-20,SQ *MERCH FAN,Debit Card,-65.40,1573.48,Posted
2025-08-19,Roundup *GOLDEN TREE HOLDINGSGO,Roundup,-0.62,1638.88,Posted
2025-08-19,Roundup *JB HI FI,Roundup,-0.88,1639.5,Posted
2025-08-19,Roundup *SQ *ENVOY CAFE,Roundup,-0.4,1640.38,Posted
2025-08-19,Roundup *BIG W           0101,Roundup,-0.11,1640.78,Posted
2025-08-19,Roundup *CROSSLAB PTY LTD,Roundup,-0.92,1640.89,Posted
2025-08-19,Roundup *OFFICEWORKS 0251,Roundup,-0.8,1641.81,Posted
2025-08-19,Roundup *SAKURA MARKET,Roundup,-0.54,1642.61,Posted
2025-08-19,Roundup *BANKSTOWN SPORTS CLU,Roundup,-0.8,1643.15,Posted
2025-08-19,CROSSLAB PTY LTD,Debit Card,-3.08,1643.95,Posted
2025-08-19,OFFICEWORKS 0251,Debit Card,-58.20,1647.03,Posted
2025-08-19,GOLDEN TREE HOLDINGSGO,Debit Card,-57.38,1705.23,Posted
2025-08-19,SQ *ENVOY CAFE,Debit Card,-19.60,1762.61,Posted
2025-08-19,BIG W           0101,Debit Card,-22.89,1782.21,Posted
2025-08-19,JB HI FI,Debit Card,-26.12,1805.1,Posted
2025-08-19,BANKSTOWN SPORTS CLU,Debit Card,-10.20,1831.22,Posted
2025-08-19,SAKURA MARKET,Debit Card,-28.46,1841.42,Posted
2025-08-18,Roundup *BANKSTOWN SPORTS CLU,Roundup,-0.96,1869.88,Posted
2025-08-18,BANKSTOWN SPORTS CLU,Debit Card,-25.04,1870.84,Posted
2025-08-17,Roundup *SQ *BLOOMING CAFE,Roundup,-0.41,1895.88,Posted
2025-08-17,SQ *BLOOMING CAFE,Debit Card,-22.59,1896.29,Posted
2025-08-16,Roundup *FAST AND EZY BANKSTOWN,Roundup,-0.85,1918.88,Posted
2025-08-16,FAST AND EZY BANKSTOWN,Debit Card,-4.15,1919.73,Posted
2025-08-15,Roundup *MYER  BANKSTOWN,Roundup,-0.27,1923.88,Posted
2025-08-15,Roundup *WOOLWORTHS      1131,Roundup,-0.23,1924.15,Posted
2025-08-15,Roundup *Back row west,Roundup,-0.98,1924.38,Posted
2025-08-15,Roundup *MOSHTIX PTY LTD,Roundup,-0.1,1925.36,Posted
2025-08-15,Roundup *SQ *BEET - COFFEE  FOO,Roundup,-0.75,1925.46,Posted
2025-08-15,Roundup *WOOLWORTHS      1131,Roundup,-0.01,1926.21,Posted
2025-08-15,Roundup *Kopi Kenangan Westfiel,Roundup,-0.33,1926.22,Posted
2025-08-15,MOSHTIX PTY LTD,Debit Card,-74.90,1926.55,Posted
2025-08-15,SQ *BEET - COFFEE  FOO,Debit Card,-24.25,2001.45,Posted
2025-08-15,MYER  BANKSTOWN,Debit Card,-19.73,2025.7,Posted
2025-08-15,WOOLWORTHS      1131,Debit Card,-4.77,2045.43,Posted
2025-08-15,WOOLWORTHS      1131,Debit Card,-10.99,2050.2,Posted
2025-08-15,Back row west,Debit Card,-4.02,2061.19,Posted
2025-08-15,Kopi Kenangan Westfiel,Debit Card,-3.67,2065.21,Posted
2025-08-13,From Savings - 3552,Deposit,155,2068.88,Posted
2025-08-09,Roundup *CVS/PHARM 09811--1871,Roundup,-0.57,1913.88,Posted
2025-08-09,CVS/PHARM 09811--1871,Debit Card,-101.43,1914.45,Posted
2025-08-08,Zelle® Payment from Don Lewis,Direct Payment,178.00,2015.88,Posted
2025-08-01,From Savings - 3552,Deposit,450,1837.88,Posted
2025-07-31,Interest earned,Interest Earned,0.66,1387.88,Posted
2025-07-28,VENMO,Direct Payment,-1618.07,1387.22,Posted
2025-07-26,From Savings - 3552,Deposit,2000,3005.29,Posted
2025-07-13,From Savings - 3552,Deposit,155,1005.29,Posted
2025-07-07,VENMO,Direct Payment,-777.6,850.29,Posted
2025-07-07,VENMO,Direct Payment,-541.49,1627.89,Posted
2025-07-07,VENMO,Direct Payment,-1176.56,2169.38,Posted
2025-07-03,From Savings - 3552,Deposit,780,3345.94,Posted
2025-07-01,From Savings - 3552,Deposit,450,2565.94,Posted
2025-06-30,Interest earned,Interest Earned,0.84,2115.94,Posted
2025-06-13,From Savings - 3552,Deposit,155,2115.1,Posted
2025-06-01,From Savings - 3552,Deposit,450,1960.1,Posted
2025-05-31,Interest earned,Interest Earned,0.78,1510.1,Posted
2025-05-28,WELLS FARGO BANK NA,Deposit,500,1509.32,Posted
2025-05-28,VENMO,Direct Payment,-1555.2,1009.32,Posted
2025-05-27,From Savings - 3552,Deposit,1000,2564.52,Posted
2025-05-20,VENMO,Direct Payment,-222.95,1564.52,Posted
2025-05-19,Roundup *SAFEWAY #1547,Roundup,-0.65,1787.47,Posted
